What is the function of the elevators on an airplane?,lateral axis
Where may a list of the approved lubricants for greasing an aircraft retractable landing gear be found?,aircraft maintenance manual.
Where can you find the specifications for the type of fluid used to service an aircraft landing gear shock strut?,On the nameplate on the strut.
How much oil should be put into an oleo shock strut?,"With the strut completely deflated, fill it up to the level of the filler plug."
How is the heat removed from an aircraft cabin with a vapor-cycle air conditioning system?,heat is removed from the cabin through a closed-loop thermodynamic process using a chemical refrigerant (such as R-134a).
What produces the cool air in a vapor-cycle air conditioning system?,the evaporator
What is used as the refrigerant in a vapor-cycle air conditioning system?,A Freon-type liquid refrigerant like R-134a.
What is the state of the refrigerant as it leaves the compressor?,high-pressure gas
What is the state of the refrigerant as it leaves the condenser?,high-pressure liquid.
What is the state of the refrigerant as it leaves the thermostatic expansion valve?,low-pressure liquid.
What is the state of the refrigerant as it leaves the evaporator?,low-pressure vapor.
How is the compressor lubricated?,Refrigeration oil is mixed with the refrigerant and it circulates through the compressor and the entire system.
What is the function of the thermostatic expansion valve?,It meters just enough liquid refrigerant into the evaporator
What safety equipment should be worn when charging a vapor-cycle cooling system?,A safety face shield
What are two types of air conditioning systems that may be installed on an aircraft?,Air-cycle systems and vapor-cycle systems.
What is the basic purpose of an autopilot?,"frees the human pilot from continuously fly,flies with a high degree of precision.various electronic navigational aids."
What are the basic subsystems of an automatic flight control system?,"Command, error-sensing, correction, follow-up."
What type of device is normally used in the error-sensing subsystem?,Gyros.
What are three types of servos that are used in the correction subsystem?,"Hydraulic, pneumatic, and electric."
What is the purpose of the follow-up subsystem in an autopilot?,stops the control movement when the error-sensor sent proper amount signal
Why is a fuel jettisoning or dump system required for some aircraft?,"most large aircraft, fuel to lower the gross weight of allowable landing weight."
What color is grade 100-LL fuel?,Blue.
How can you detect jet fuel in the sample taken from the tank sump drains?,basically clear and odor similar to kerosine.
What is an SPDT switch?,"single-pole, double-throw switch."
"If no specific instructions are available, which way should the operating handle of an electrical switch move to turn a component on?",Forward or upward.
What color insulator on a preinsulated solderless connector indicates that the connector is proper for a 10-gauge wire?,Yellow.
How many splices are allowed in a single wire run?,One.
